video_id;instance_id;ref_exp;ref_exp_difficulty;ref_exp_information;appearance;obj-static;category;location;motion;obj-motion;static
-7EE9T3Z0qk;0;the child is crawling up onto the sofa;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
-7EE9T3Z0qk;1;baby girl sitting on the couch;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
01wmkiDXDD8;1;man in blue shirt doing dribble;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1ApyqVU93N4;0;Girl in yellow dress standing near the woman;Incorrect Referring Expression;Not Applicable;;;;;;;
1ApyqVU93N4;1;baby in red shirt reaching a toy;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;0.0;0.0;0.0
1ApyqVU93N4;2;Girl in yellow dress standing near the woman;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
1Ib_2-qdFhk;0;a man eating a big sandwich;Non-trivial;Redundant Information;0.0;1.0;1.0;0.0;0.0;0.0;1.0
1Ib_2-qdFhk;1;a man with green shirt is sitting on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
2G9DODKHHIM;0;seagull standing in the back;Not a Referring Expression;Not Applicable;;;;;;;
2G9DODKHHIM;1;a bird is running in the middle;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
2G9DODKHHIM;2;a white bird is standing in the middle;Not a Referring Expression;Not Applicable;;;;;;;
2G9DODKHHIM;3;bird on the right standing ;Not a Referring Expression;Not Applicable;;;;;;;
2G9DODKHHIM;4;seagull with black beak standing on the shore;Not a Referring Expression;Not Applicable;;;;;;;
4CZjVBpRQtM;0;man in uniform walking on the bottom left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
4CZjVBpRQtM;1;man in uniform walking at last in the second row from left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
4CZjVBpRQtM;2;Large guy is walking in the middle of the street;Not a Referring Expression;Not Applicable;;;;;;;
4CZjVBpRQtM;3;bottom right man in uniform walking on the street;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
64YpE9Pgsgk;0;Woman in pink orange shirt and denim shorts standing near tractor;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
64YpE9Pgsgk;1;a car is jumping on the air;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
6YIdUkJO7TA;0;a black dog is walking with its friend on the snow;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
6YIdUkJO7TA;1;White black dog walking in front;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
6YIdUkJO7TA;2;black and brown dog walking in the snow;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
6gwZ6MPYW_Y;0;bird flying above the man in yellow shirt;Not a Referring Expression;Not Applicable;;;;;;;
6gwZ6MPYW_Y;1;Bird with large wings flying in the sky close to the man;Not a Referring Expression;Not Applicable;;;;;;;
6gwZ6MPYW_Y;2;the person in yellow is running;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
6gwZ6MPYW_Y;3;bird flying in the sky;Not a Referring Expression;Not Applicable;;;;;;;
7kV4-ziw4pU;0;a guy is doing a basketball trick in a stadium;Incorrect Referring Expression;Not Applicable;;;;;;;
7kuUHEyCV9g;0;Monster car is rolling over in the air;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
7kuUHEyCV9g;1;The monster car is jumping from the dirt hill;Not a Referring Expression;Not Applicable;;;;;;;
7kuUHEyCV9g;2;monster car is jumping in the right bottom corner;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
8m0iPQS7Cpg;0;a brown dog running ;Incorrect Referring Expression;Not Applicable;;;;;;;
8qevxPmTWKQ;0;man in green standing in the back;Not a Referring Expression;Not Applicable;;;;;;;
8qevxPmTWKQ;1;Violet car is jumping over other cars;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
8qevxPmTWKQ;2;black truck parking on the top right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
8qevxPmTWKQ;3;a man with green shirt is watching the car in the behind;Not a Referring Expression;Not Applicable;;;;;;;
9cqF0hjnIbs;1;a back car with a camper behind it is parked;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;0.0;0.0;1.0
9dVSl1NktrE;1;guy in black sitting on the chair;Not a Referring Expression;Not Applicable;;;;;;;
